"|","||","|||","|||__t2","|||__hr","|||__pp","|||__cl","|||__ws","|||__wd"
"","","16","20.4","54.08","0.0","2.97","4.21","288.62"
"","","17","20.09","51.8","0.0","0.0","4.4","287.63"
"","","18","19.22","50.68","0.0","0.0","4.74","295.68"
"","","19","17.06","53.38","0.0","0.0","4.61","306.42"
"","","20","14.2","64.1","0.0","0.0","4.29","313.08"
"","","21","12.19","69.04","0.0","0.0","4.97","312.26"
"","","22","10.87","72.06","0.0","0.0","5.37","313.71"
"","","23","10.2","76.79","0.0","1.44","5.46","316.66"
"","20190604","0","9.72","82.95","0.0","24.44","5.37","318.2"
"","","1","9.38","86.29","0.0","45.21","5.21","320.77"
"","","2","9.15","87.9","0.0","58.74","4.73","323.45"
"","","3","8.87","90.32","0.0","76.39","4.1","323.48"
"","","4","8.61","92.49","0.0","84.97","3.79","316.52"
"","","5","8.37","93.61","0.0","65.52","3.49","316.91"
"","","6","8.74","90.51","0.0","50.99","3.6","311.63"
"","","7","10.76","74.91","0.0","72.61","5.09","308.34"
"","","8","11.9","72.12","0.0","98.36","5.18","307.09"
"","","9","11.52","76.53","0.0","97.25","5.37","312.0"
"","","10","12.08","70.54","0.0","82.56","4.64","306.27"
"","","11","14.37","61.67","0.0","63.64","5.59","306.43"
"","","12","12.66","69.96","0.0","88.88","5.75","311.34"
"","","13","12.88","66.96","0.0","89.74","5.77","309.68"
"","","14","12.96","62.85","0.0","64.66","5.61","317.73"
"","","15","12.63","64.79","0.0","68.78","6.19","321.32"
"","","16","12.48","65.77","0.0","64.16","6.25","320.74"
"","","17","12.7","65.78","0.0","66.74","6.56","324.28"
"","","18","12.11","66.57","0.0","65.09","6.17","327.42"
"","","19","11.18","70.26","0.0","65.28","5.58","332.64"
"","","20","9.54","80.91","0.0","43.7","3.9","337.11"
"","","21","8.53","85.79","0.0","43.41","4.1","331.96"
"","","22","7.85","89.46","0.0","54.03","4.85","335.31"
"","","23","7.4","91.67","0.0","56.01","4.63","336.79"
"","20190605","0","7.03","92.5","0.0","60.5","4.57","338.76"
"","","1","6.55","93.28","0.0","64.14","4.6","340.94"
"","","2","6.12","93.89","0.0","68.14","4.51","339.68"
"","","3","5.71","94.38","0.0","67.37","3.94","336.36"
"","","4","5.18","95.63","0.0","63.36","2.92","332.77"
"","","5","4.63","96.77","0.0","60.48","2.4","330.41"
"","","6","5.47","93.36","0.0","54.76","2.53","330.03"
"","","7","7.94","77.84","0.0","26.48","3.14","347.05"
"","","8","9.69","68.36","0.0","28.26","2.44","7.05"
"","","9","11.36","59.64","0.0","28.91","1.46","25.51"
"","","10","13.2","50.19","0.0","0.9","0.88","6.62"
